B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,Group
-76,-200,-200,-200,-89,-200,-200,-81,-47,-89,-200,-200,-87,-200,-200,9
-200,-200,-200,-200,-200,-200,-64,-200,-92,-200,-200,-200,-200,-200,-200,6
-200,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-95,-90,19
-200,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,2
-87,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-73,-75,-200,18
-77,-200,-200,-200,-200,-94,-87,-98,-93,-86,-200,-200,-93,-200,-90,16
-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,7
-200,-200,-200,-200,-200,-200,-92,-85,-200,-92,-200,-200,-74,-200,-200,11
-200,-200,-200,-200,-75,-200,-200,-70,-71,-200,-200,-200,-71,-200,-200,8
-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-94,-84,-200,-200,-200,4
-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,3
-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,21
-93,-200,-200,-82,-200,-200,-200,-200,-200,-200,-71,-89,-200,-200,-200,1
-84,-200,-200,-78,-200,-200,-200,-200,-95,-200,-72,-77,-200,-200,-200,13
-200,-200,-200,-200,-200,-200,-65,-200,-200,-200,-200,-200,-200,-89,-200,6
-77,-200,-200,-200,-200,-89,-74,-98,-92,-86,-200,-200,-93,-200,-90,16
-84,-200,-200,-200,-91,-200,-97,-92,-80,-81,-200,-200,-70,-200,-200,23
-200,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,14
-91,-200,-200,-200,-91,-200,-200,-83,-70,-92,-200,-200,-87,-200,-200,9
-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,19
-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,2
-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,20
-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,7
-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-89,-96,-200,-200,-200,4
-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,20
-84,-200,-200,-85,-200,-200,-200,-200,-200,-200,-83,-89,-200,-200,-200,15
-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,5
